"shop_country_asin_date","asin","country","date","old_weighted_sales","new_weighted_sales","difference"
"合计_US_B0FB3P6H48_20251230","B0FB3P6H48","US","2025-12-30","40.3","38.1","2.2"
"合计_CA_B0FKG5YT3H_20251230","B0FKG5YT3H","CA","2025-12-30","4.8","3.2","1.6"
"合计_US_B0D66D792T_20251231","B0D66D792T","US","2025-12-31","8.3","7.1","1.2"
"合计_US_B0FB3P6H48_20251231","B0FB3P6H48","US","2025-12-31","37.9","36","1.9"
"合计_CA_B0FKG5YT3H_20251231","B0FKG5YT3H","CA","2025-12-31","5.2","2.9","2.3"
"合计_CA_B0FKG5YT3H_20260101","B0FKG5YT3H","CA","2026-01-01","5.2","2.9","2.3"
"合计_CA_B0FKG5YT3H_20260102","B0FKG5YT3H","CA","2026-01-02","5.1","3","2.1"
"合计_CA_B0FKG5YT3H_20260103","B0FKG5YT3H","CA","2026-01-03","4.7","3.1","1.6"
"合计_CA_B0FKG5YT3H_20260104","B0FKG5YT3H","CA","2026-01-04","5.5","2.9","2.6"
"合计_CA_B0FT8MDDQV_20260104","B0FT8MDDQV","CA","2026-01-04","11.6","10","1.6"
"合计_US_B0D66D792T_20260105","B0D66D792T","US","2026-01-05","9.7","8.2","1.5"
"合计_CA_B0FKG5YT3H_20260105","B0FKG5YT3H","CA","2026-01-05","5.4","2.9","2.5"
"合计_CA_B0FT8MDDQV_20260105","B0FT8MDDQV","CA","2026-01-05","11.4","9.8","1.6"
"合计_US_B0D66D792T_20260106","B0D66D792T","US","2026-01-06","9.4","8","1.4"
"合计_CA_B0FKG5YT3H_20260106","B0FKG5YT3H","CA","2026-01-06","5.5","2.9","2.6"
"合计_CA_B0FT8MDDQV_20260106","B0FT8MDDQV","CA","2026-01-06","11.1","9.5","1.6"
"合计_CA_B0G35PYVR6_20260106","B0G35PYVR6","CA","2026-01-06","5.8","3.2","2.6"
"合计_US_B0D66D792T_20260107","B0D66D792T","US","2026-01-07","10.2","8.8","1.4"
"合计_US_B0F9YNLLCN_20260107","B0F9YNLLCN","US","2026-01-07","5.8","4.7","1.1"
"合计_CA_B0FKG5YT3H_20260107","B0FKG5YT3H","CA","2026-01-07","5.5","3.2","2.3"
"合计_CA_B0FT8MDDQV_20260107","B0FT8MDDQV","CA","2026-01-07","10.7","9.1","1.6"
"合计_CA_B0G35PYVR6_20260107","B0G35PYVR6","CA","2026-01-07","6","3.2","2.8"
"合计_US_B0D66D792T_20260108","B0D66D792T","US","2026-01-08","11.1","9.7","1.4"
"合计_US_B0F9YNLLCN_20260108","B0F9YNLLCN","US","2026-01-08","6.2","5","1.2"
"合计_CA_B0FKG5YT3H_20260108","B0FKG5YT3H","CA","2026-01-08","5.6","3.3","2.3"
"合计_CA_B0FT8MDDQV_20260108","B0FT8MDDQV","CA","2026-01-08","10.1","8.8","1.3"
"合计_CA_B0G35PYVR6_20260108","B0G35PYVR6","CA","2026-01-08","5.9","2.8","3.1"
"合计_US_B0G49VCMHJ_20260108","B0G49VCMHJ","US","2026-01-08","19.5","16.2","3.3"
"合计_US_B0D66D792T_20260109","B0D66D792T","US","2026-01-09","11","9.7","1.3"
"合计_US_B0F9YNLLCN_20260109","B0F9YNLLCN","US","2026-01-09","6.2","5.1","1.1"
"合计_CA_B0FKG5YT3H_20260109","B0FKG5YT3H","CA","2026-01-09","5.8","3.5","2.3"
"合计_CA_B0FT8MDDQV_20260109","B0FT8MDDQV","CA","2026-01-09","9.8","8.7","1.1"
"合计_CA_B0G35PYVR6_20260109","B0G35PYVR6","CA","2026-01-09","5.7","2.8","2.9"
"合计_US_B0G49VCMHJ_20260109","B0G49VCMHJ","US","2026-01-09","18.3","15.2","3.1"
"合计_US_B0D66D792T_20260110","B0D66D792T","US","2026-01-10","11.3","10","1.3"
"合计_US_B0F9YNLLCN_20260110","B0F9YNLLCN","US","2026-01-10","6.9","5.5","1.4"
"合计_US_B0FB3P6H48_20260110","B0FB3P6H48","US","2026-01-10","31.9","30.4","1.5"
"合计_CA_B0FKG5YT3H_20260110","B0FKG5YT3H","CA","2026-01-10","6.1","3.4","2.7"
"合计_CA_B0FT8MDDQV_20260110","B0FT8MDDQV","CA","2026-01-10","10.5","9.3","1.2"
"合计_CA_B0G35PYVR6_20260110","B0G35PYVR6","CA","2026-01-10","5.2","2.6","2.6"
"合计_US_B0G49VCMHJ_20260110","B0G49VCMHJ","US","2026-01-10","18.9","16.6","2.3"
"合计_US_B0D66D792T_20260111","B0D66D792T","US","2026-01-11","11","9.7","1.3"
"合计_US_B0F9YNLLCN_20260111","B0F9YNLLCN","US","2026-01-11","6.7","5.3","1.4"
"合计_US_B0FB3P6H48_20260111","B0FB3P6H48","US","2026-01-11","31.2","29.6","1.6"
"合计_CA_B0FKG5YT3H_20260111","B0FKG5YT3H","CA","2026-01-11","5.2","3.4","1.8"
"合计_CA_B0G35PYVR6_20260111","B0G35PYVR6","CA","2026-01-11","5.4","2.7","2.7"
"合计_US_B0G49VCMHJ_20260111","B0G49VCMHJ","US","2026-01-11","19.3","17.3","2"
"合计_US_B0F9YNLLCN_20260112","B0F9YNLLCN","US","2026-01-12","6.5","5.1","1.4"
"合计_US_B0FB3P6H48_20260112","B0FB3P6H48","US","2026-01-12","30.4","28.8","1.6"
"合计_CA_B0FT8MDDQV_20260112","B0FT8MDDQV","CA","2026-01-12","10.5","9","1.5"
"合计_CA_B0G35PYVR6_20260112","B0G35PYVR6","CA","2026-01-12","3.9","2.6","1.3"
"合计_US_B0G49VCMHJ_20260112","B0G49VCMHJ","US","2026-01-12","20.4","18.6","1.8"
"合计_US_B0F9YNLLCN_20260113","B0F9YNLLCN","US","2026-01-13","6.6","5.1","1.5"
"合计_US_B0FB3P6H48_20260113","B0FB3P6H48","US","2026-01-13","28.4","26.8","1.6"
"合计_CA_B0FT8MDDQV_20260113","B0FT8MDDQV","CA","2026-01-13","9.9","8.4","1.5"
"合计_US_B0G49VCMHJ_20260113","B0G49VCMHJ","US","2026-01-13","20.5","18.9","1.6"
"合计_US_B0FB3P6H48_20260114","B0FB3P6H48","US","2026-01-14","26.7","25.1","1.6"
"合计_CA_B0FT8MDDQV_20260114","B0FT8MDDQV","CA","2026-01-14","10.2","8.3","1.9"
"合计_US_B0G49VCMHJ_20260114","B0G49VCMHJ","US","2026-01-14","20.2","18.8","1.4"
"合计_US_B0FB3P6H48_20260115","B0FB3P6H48","US","2026-01-15","25.7","24.1","1.6"
"合计_US_B0G49VCMHJ_20260115","B0G49VCMHJ","US","2026-01-15","19.5","18","1.5"
"合计_US_B0FB3P6H48_20260116","B0FB3P6H48","US","2026-01-16","28.1","26.8","1.3"
"合计_US_B0G49VCMHJ_20260116","B0G49VCMHJ","US","2026-01-16","18.4","17.1","1.3"
"合计_US_B0G49VCMHJ_20260117","B0G49VCMHJ","US","2026-01-17","17.4","16.2","1.2"
"合计_US_B0G49VCMHJ_20260119","B0G49VCMHJ","US","2026-01-19","15.4","14.2","1.2"
"合计_US_B0G49VCMHJ_20260120","B0G49VCMHJ","US","2026-01-20","14.6","13","1.6"
